"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_PLEITO";"DT_PLEITO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"SG_UF";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"NR_SECAO";"NR_LOCAL_VOTACAO";"CD_CARGO_PERGUNTA";"DS_CARGO_PERGUNTA";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"DT_BU_RECEBIDO";"QT_APTOS";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"CD_TIPO_URNA";"DS_TIPO_URNA";"CD_TIPO_VOTAVEL";"DS_TIPO_VOTAVEL";"NR_VOTAVEL";"NM_VOTAVEL";"QT_VOTOS";"NR_URNA_EFETIVADA";"CD_CARGA_1_URNA_EFETIVADA";"CD_CARGA_2_URNA_EFETIVADA";"CD_FLASHCARD_URNA_EFETIVADA";"DT_CARGA_URNA_EFETIVADA";"DS_CARGO_PERGUNTA_SECAO";"DS_AGREGADAS";"DT_ABERTURA";"DT_ENCERRAMENTO";"QT_ELEITORES_BIOMETRIA_NH";"DT_EMISSAO_BU";"NR_JUNTA_APURADORA";"NR_TURMA_APURADORA"
"31/10/2022";"15:49:41";"2022";"0";"Elei�o Ordin�ria";"407";"30/10/2022";"2";"545";"Elei�o Geral Federal 2022";"MA";"9210";"S�O LU�S";"1";"82";"1147";"1";"Presidente";"-1";"#NULO#";"#NULO#";"30/10/2022 18:08:38";"308";"250";"58";"1";"APURADA";"3";"Nulo";"96";"Nulo";"6";"2125551";"576.368.574.875.819.566.";"373.660";"9EE65DB8";"28/09/2022 11:34:00";"1 - 86";"#NULO#";"30/10/2022 08:00:01";"30/10/2022 17:00:23";"7";"30/10/2022 17:01:42";"-1";"-1"
"31/10/2022";"15:49:41";"2022";"0";"Elei�o Ordin�ria";"407";"30/10/2022";"2";"545";"Elei�o Geral Federal 2022";"MA";"9210";"S�O LU�S";"1";"83";"1147";"1";"Presidente";"22";"PL";"Partido Liberal";"30/10/2022 18:08:38";"308";"250";"58";"1";"APURADA";"1";"Nominal";"22";"JAIR BOLSONARO";"85";"2125551";"576.368.574.875.819.566.";"373.660";"9EE65DB8";"28/09/2022 11:34:00";"1 - 86";"#NULO#";"30/10/2022 08:00:01";"30/10/2022 17:00:23";"7";"30/10/2022 17:01:42";"-1";"-1"
"31/10/2022";"15:49:41";"2022";"0";"Elei�o Ordin�ria";"407";"30/10/2022";"2";"545";"Elei�o Geral Federal 2022";"MA";"9210";"S�O LU�S";"2";"86";"1147";"1";"Presidente";"-1";"#NULO#";"#NULO#";"30/10/2022 18:08:38";"308";"250";"58";"1";"APURADA";"2";"Branco";"95";"Branco";"3";"2125551";"576.368.574.875.819.566.";"373.660";"9EE65DB8";"28/09/2022 11:34:00";"1 - 86";"#NULO#";"30/10/2022 08:00:01";"30/10/2022 17:00:23";"7";"30/10/2022 17:01:42";"-1";"-1"
"31/10/2022";"15:49:41";"2022";"0";"Elei�o Ordin�ria";"407";"30/10/2022";"2";"545";"Elei�o Geral Federal 2022";"MA";"9210";"S�O LU�S";"4";"86";"1147";"1";"Presidente";"13";"PT";"Partido dos Trabalhadores";"30/10/2022 18:08:38";"308";"250";"58";"1";"APURADA";"1";"Nominal";"13";"LULA";"156";"2125551";"576.368.574.875.819.566.";"373.660";"9EE65DB8";"28/09/2022 11:34:00";"1 - 86";"#NULO#";"30/10/2022 08:00:01";"30/10/2022 17:00:23";"7";"30/10/2022 17:01:42";"-1";"-1"
"31/10/2022";"15:49:41";"2022";"0";"Elei�o Ordin�ria";"407";"30/10/2022";"2";"545";"Elei�o Geral Federal 2022";"MA";"9210";"S�O LU�S";"8";"87";"1147";"1";"Presidente";"13";"PT";"Partido dos Trabalhadores";"30/10/2022 18:08:43";"308";"254";"54";"1";"APURADA";"1";"Nominal";"13";"LULA";"155";"2094383";"717.782.046.003.390.041.";"001.037";"B5C63B2A";"28/09/2022 09:20:00";"1 - 87";"#NULO#";"30/10/2022 08:00:01";"30/10/2022 17:01:14";"15";"30/10/2022 17:04:54";"-1";"-1"
"31/10/2022";"15:49:41";"2022";"0";"Elei�o Ordin�ria";"407";"30/10/2022";"2";"545";"Elei�o Geral Federal 2022";"MA";"9210";"S�O LU�S";"5";"87";"1147";"1";"Presidente";"22";"PL";"Partido Liberal";"30/10/2022 18:08:43";"308";"254";"54";"1";"APURADA";"1";"Nominal";"22";"JAIR BOLSONARO";"90";"2094383";"717.782.046.003.390.041.";"001.037";"B5C63B2A";"28/09/2022 09:20:00";"1 - 87";"#NULO#";"30/10/2022 08:00:01";"30/10/2022 17:01:14";"15";"30/10/2022 17:04:54";"-1";"-1"
"31/10/2022";"15:49:41";"2022";"0";"Elei�o Ordin�ria";"407";"30/10/2022";"2";"545";"Elei�o Geral Federal 2022";"MA";"9210";"S�O LU�S";"9";"87";"1147";"1";"Presidente";"-1";"#NULO#";"#NULO#";"30/10/2022 18:08:43";"308";"254";"54";"1";"APURADA";"3";"Nulo";"96";"Nulo";"5";"2094383";"717.782.046.003.390.041.";"001.037";"B5C63B2A";"28/09/2022 09:20:00";"1 - 87";"#NULO#";"30/10/2022 08:00:01";"30/10/2022 17:01:14";"15";"30/10/2022 17:04:54";"-1";"-1"
"31/10/2022";"15:49:41";"2022";"0";"Elei�o Ordin�ria";"407";"30/10/2022";"2";"545";"Elei�o Geral Federal 2022";"MA";"9210";"S�O LU�S";"10";"87";"1147";"1";"Presidente";"-1";"#NULO#";"#NULO#";"30/10/2022 18:08:43";"308";"254";"54";"1";"APURADA";"2";"Branco";"95";"Branco";"4";"2094383";"717.782.046.003.390.041.";"001.037";"B5C63B2A";"28/09/2022 09:20:00";"1 - 87";"#NULO#";"30/10/2022 08:00:01";"30/10/2022 17:01:14";"15";"30/10/2022 17:04:54";"-1";"-1"
"31/10/2022";"15:49:41";"2022";"0";"Elei�o Ordin�ria";"407";"30/10/2022";"2";"545";"Elei�o Geral Federal 2022";"MA";"9210";"S�O LU�S";"3";"88";"1147";"1";"Presidente";"-1";"#NULO#";"#NULO#";"30/10/2022 18:08:42";"308";"245";"63";"1";"APURADA";"3";"Nulo";"96";"Nulo";"8";"2094277";"525.863.965.984.415.567.";"133.714";"B5C63B2A";"28/09/2022 09:23:00";"1 - 88";"#NULO#";"30/10/2022 08:00:01";"30/10/2022 17:00:21";"13";"30/10/2022 17:00:54";"-1";"-1"
"31/10/2022";"15:49:41";"2022";"0";"Elei�o Ordin�ria";"407";"30/10/2022";"2";"545";"Elei�o Geral Federal 2022";"MA";"9210";"S�O LU�S";"1";"88";"1147";"1";"Presidente";"13";"PT";"Partido dos Trabalhadores";"30/10/2022 18:08:42";"308";"245";"63";"1";"APURADA";"7";"Nominal";"13";"LULA";"154";"2094277";"525.863.965.984.415.567.";"133.714";"B5C63B2A";"28/09/2022 09:23:00";"1 - 88";"#NULO#";"30/10/2022 08:00:01";"30/10/2022 17:00:21";"13";"30/10/2022 17:00:54";"-1";"-1"
